"","int","prevalence","precision","cpe","sta.cpe","fsd","sta.fsd","mip","sta.mip","stability"
"1","m_tmean+_ppt+",0.167288855717886,0.806201680787528,1.42756575466988,1,-0.116844518500994,0,0.100345047995741,1,1
"2","ppt+_psoilA-",0.070143217430199,0.784451460295862,1.29384541330988,1,-0.193092721422407,0,0.0729952457265862,1,0.6
"3","ppt+_tmean+",0.11218301784076,0.781294875870264,1.27529829462063,1,-0.157550063011619,0,0.0689610771801638,1,0.9
"4","pdev_low+_ppt+",0.0615190860608444,0.781033428647642,1.27374390647268,1,-0.045633823310974,0,0.0686285265799236,1,0.3
"5","pcountyrd-_ppt+",0.0480601298804708,0.774700014262293,1.23745970691769,1,-0.0858434689399603,0,0.0604520341640536,1,0
"6","m_tmean+_psoilC+_tmean+",0.17057210619716,0.703267890307493,0.864925820688706,1,0.113004559894359,1,0.0529016173074314,1,0.5
"7","m_tmean+_pcountyrd-_tmean+",0.09887749546053,0.683442332986134,0.771683209729234,1,0.0980863734936426,1,0.07785133988168,1,0.1
"8","m_tmean+_pgreen-_psoilC+",0.126639886799243,0.678798865406442,0.750303606950731,1,0.134538293234026,1,0.0205062562539802,1,0.3
"9","m_tmean+_psoilA-_tmean+",0.163072574280177,0.673494912589437,0.726082825073796,1,0.112957311818765,1,0.0616849307974925,1,0.6
"10","m_tmean+_ppt-_psoilC+_tmean+",0.1249665718161,0.673228565475253,0.72483957187638,1,0.291407039527885,1,-0.0436531325248442,0,0.3
"11","psoilC+_tmean+",0.21535160713407,0.667030601262006,0.696799042582091,1,0.0879489167701371,1,0.0866328979889898,1,1
"12","m_tmean+_pgreen-_tmean+",0.18508004480228,0.665103780865534,0.688143314113829,1,0.124593633274658,1,0.054546231778903,1,0.6
"13","m_tmean+_psoilC+",0.293355950643845,0.665015141974767,0.687738952076383,1,0.0382176698899866,1,0.083606482255698,1,1
"14","m_tmean+_med_high-_tmean+",0.135370945315102,0.659092508504813,0.661276753970489,1,0.095652433471298,1,0.0454656497745169,1,0.3
"15","pdev_low+_psoilC+",0.0955481039659793,0.651349091100483,0.627011560097993,1,-0.012185445740438,0.3,0.0628329655030892,1,0.6
"16","ppt-_psoilC+_tmean+",0.151509805618395,0.637243150155646,0.565431458133443,1,0.225768392218021,1,-0.04568494192331,0,0.3
"17","pgreen-_psoilC+",0.149045427981463,0.636777931665181,0.563444435925834,1,0.0392563155093959,1,0.0402056086246579,1,0.5
"18","m_ppt+_psoilC+",0.134046878035632,0.635195890145048,0.556619717742519,1,-0.0290778935394892,0,0.0377135768601123,1,0.9
"19","psoilA-_tmean+",0.199891647733437,0.63320188427589,0.547998233044256,1,0.0584050678125733,1,0.101750350535685,1,1
"20","m_tmean+_pservice+_tmean+",0.166020604993788,0.633044244391946,0.54734668791233,1,0.0439988182614052,1,0.00512798452458657,0.8,0.3
"21","m_tmean+_medyr_built+_psoilA-_psoilC+",0.0275943261783239,0.632058821685954,0.543202398139454,1,0.0988577065347434,0.9,-0.0632114889863152,0,0
"22","m_tmean+_pdev_low+_pgreen-_ppt-_psoilA-",0.027702240562744,0.631792397018564,0.5419843501647,1,0.478558914367744,1,-0.0433916757525053,0,0
"23","pcountyrd-_tmean+",0.122964962900638,0.631601560435202,0.541137069866126,1,0.0578399337134628,1,0.100118307420504,1,0.3
"24","med_high-_pag-",0.0835134825582664,0.63101730382427,0.538624698229774,1,-0.027293031812238,0,0.113299846944437,1,0.2
"25","m_tmean+_med_high-_ppt-_tmean+",0.0993573081798522,0.630149650229825,0.534878563751852,1,0.275917783836793,1,-0.0449067507110118,0,0.1
"26","m_tmean+_tmean+",0.413053834354586,0.629797257948839,0.533366046995185,1,-0.00894279437041622,0,0.0959794224921311,1,1
"27","m_tmean+_ppt-_psoilC+",0.205750091087261,0.629556587693863,0.532330955012307,1,0.172978043876526,1,-0.0547958310955583,0,1
"28","pservice+_psoilC+",0.138261625855454,0.624427751471219,0.510415736235656,1,-0.00749301292968472,0.3,0.0206218359021725,1,0.5
"29","m_tmean+_med_high-",0.239289996589752,0.623594668398631,0.506847417643206,1,0.0488853168876601,1,0.0869554493663557,1,1
"30","m_tmean+_psoilA-",0.290171971050246,0.623000789407623,0.50431872128318,1,0.0722604341577264,1,0.0854467700961933,1,1
"31","pag-_tmean+",0.156616205009692,0.622546124979391,0.502402222749828,1,-0.00208225885452953,0.4,0.0856810510700741,1,1
"32","m_tmean+_pgreen-_pservice+",0.13706643101597,0.620651924071386,0.49434428659043,1,0.171360811818648,1,0.0033099677313677,0.7,0.2
"33","m_tmean+_pag-",0.230695329504137,0.619517894458546,0.48953073441751,1,0.0263216667200203,1,0.0803872232389059,1,1
"34","m_tmean+_pgreen-",0.322065820754168,0.618595061789715,0.485601128119627,1,0.0615904871888043,1,0.0789065204103753,1,1
"35","m_tmean+_pstaterd+",0.110230677432223,0.617740172982052,0.482000084306327,1,0.0115164557476144,1,0.0775105198741998,1,0.3
"36","m_tmean+_pcountyrd-",0.174291121246108,0.617651578844746,0.481624002868576,1,0.047874251879404,1,0.0773678328791632,1,1
"37","pgreen-_tmean+",0.22745339836386,0.617624978455151,0.481496413993744,1,0.0726047327117934,1,0.0777537405144393,1,1
"38","m_tmean+_pdev_low-_psoilA-",0.0924580773788805,0.615300795808692,0.471678320336126,1,0.175813578832913,1,-0.0124463179930655,0,0
"39","med_high-_tmean+",0.168960214048885,0.611235610565642,0.454537263121475,1,0.0591636916348991,1,0.067346720235888,1,0.8
"40","pgreen-_psoilA-",0.165252669561128,0.608864077692501,0.444557084824241,1,0.187406723769981,1,0.0638083537004802,1,0.4
"41","med_high-_psoilA-",0.111057363457892,0.607386886939613,0.438370649288045,1,0.0744276250635374,1,0.0613703473068407,1,0.1
